"filename", "language", "TypeScript", "TypeScript React", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\afada\Desktop\healthomat-panel\src\App.tsx", "TypeScript React", 0, 41, 0, 0, 0, 5, 46
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Auth\authSlice.ts", "TypeScript", 27, 0, 0, 0, 1, 5, 33
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\Footer.tsx", "TypeScript React", 0, 15, 0, 0, 0, 3, 18
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\Header.tsx", "TypeScript React", 0, 42, 0, 0, 0, 2, 44
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\Language.tsx", "TypeScript React", 0, 45, 0, 0, 0, 1, 46
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\Profile.tsx", "TypeScript React", 0, 25, 0, 0, 0, 3, 28
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\Sidebar.tsx", "TypeScript React", 0, 28, 0, 0, 0, 3, 31
"c:\Users\afada\Desktop\healthomat-panel\src\Components\Layout\sidebarSlice.ts", "TypeScript", 43, 0, 0, 0, 1, 8, 52
"c:\Users\afada\Desktop\healthomat-panel\src\Components\SidebarContent.tsx", "TypeScript React", 0, 47, 0, 0, 0, 1, 48
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Accordion\Accordion.tsx", "TypeScript React", 0, 72, 0, 0, 2, 7, 81
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Animation\FadeAnimation.tsx", "TypeScript React", 0, 27, 0, 0, 0, 3, 30
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Button\Button.tsx", "TypeScript React", 0, 62, 0, 0, 0, 6, 68
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Card\Card.tsx", "TypeScript React", 0, 18, 0, 0, 0, 2, 20
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\CheckBoxes\CheckBoxes.tsx", "TypeScript React", 0, 35, 0, 0, 0, 5, 40
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Drawer\Drawer.tsx", "TypeScript React", 0, 34, 0, 0, 5, 3, 42
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Drawer\DrawerContent.tsx", "TypeScript React", 0, 31, 0, 0, 0, 3, 34
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Dropdown\Dropdown.tsx", "TypeScript React", 0, 21, 0, 0, 0, 1, 22
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\FormElements\CheckBox\CheckBox.tsx", "TypeScript React", 0, 25, 0, 0, 0, 4, 29
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\FormElements\Input\Input.tsx", "TypeScript React", 0, 36, 0, 0, 0, 2, 38
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Icon\Icon.tsx", "TypeScript React", 0, 136, 0, 0, 0, 9, 145
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Modal\Modal.tsx", "TypeScript React", 0, 44, 0, 0, 5, 3, 52
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Modal\ModalBackdrop.tsx", "TypeScript React", 0, 17, 0, 0, 0, 2, 19
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Modal\ModalOverlay.tsx", "TypeScript React", 0, 34, 0, 0, 0, 3, 37
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\OnOFF\OnOFF.tsx", "TypeScript React", 0, 30, 0, 0, 0, 4, 34
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Preloader\Preloader.tsx", "TypeScript React", 0, 17, 0, 0, 0, 1, 18
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\RatingStars\RatingStars.tsx", "TypeScript React", 0, 19, 0, 0, 0, 4, 23
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\SearchOption\SearchOption.tsx", "TypeScript React", 0, 122, 0, 0, 2, 9, 133
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\SocialIcons\SocialIcons.tsx", "TypeScript React", 0, 23, 0, 0, 0, 3, 26
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Tooltip\Tooltip.tsx", "TypeScript React", 0, 9, 0, 0, 0, 4, 13
"c:\Users\afada\Desktop\healthomat-panel\src\Components\UI\Wrapper\Wrapper.tsx", "TypeScript React", 0, 13, 0, 0, 0, 3, 16
"c:\Users\afada\Desktop\healthomat-panel\src\assets\fonts\Helvetica\Helvetica.svg", "XML", 0, 0, 0, 7909, 0, 1, 7910
"c:\Users\afada\Desktop\healthomat-panel\src\assets\img\doctor-default.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\afada\Desktop\healthomat-panel\src\assets\img\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\afada\Desktop\healthomat-panel\src\functions\language.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useDropdown.ts", "TypeScript", 16, 0, 0, 0, 0, 2, 18
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useRTL.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useSelector.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useTransition.ts", "TypeScript", 25, 0, 0, 0, 0, 2, 27
"c:\Users\afada\Desktop\healthomat-panel\src\i18next.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 20
"c:\Users\afada\Desktop\healthomat-panel\src\index.css", "PostCSS", 0, 0, 160, 0, 13, 22, 195
"c:\Users\afada\Desktop\healthomat-panel\src\index.tsx", "TypeScript React", 0, 22, 0, 0, 0, 2, 24
"c:\Users\afada\Desktop\healthomat-panel\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\afada\Desktop\healthomat-panel\src\store\store.ts", "TypeScript", 11, 0, 0, 0, 2, 3, 16
"c:\Users\afada\Desktop\healthomat-panel\src\styles\animations.css", "PostCSS", 0, 0, 84, 0, 5, 11, 100
"c:\Users\afada\Desktop\healthomat-panel\src\utils\lab-tests.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\afada\Desktop\healthomat-panel\src\utils\languages.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\afada\Desktop\healthomat-panel\src\utils\profile-dropdown.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\afada\Desktop\healthomat-panel\src\utils\sidebar-content.ts", "TypeScript", 16, 0, 0, 0, 0, 2, 18
"Total", "-", 185, 1090, 244, 7911, 37, 169, 9636
