"filename", "language", "TypeScript", "TypeScript React", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\afada\Desktop\healthomat-panel\src\App.tsx", "TypeScript React", 0, -41, 0, 0, 0, -5, -46
"c:\Users\afada\Desktop\healthomat-panel\src\assets\fonts\Helvetica\Helvetica.svg", "XML", 0, 0, 0, -7909, 0, -1, -7910
"c:\Users\afada\Desktop\healthomat-panel\src\assets\img\doctor-default.svg", "XML", 0, 0, 0, -1, 0, 0, -1
"c:\Users\afada\Desktop\healthomat-panel\src\assets\img\logo.svg", "XML", 0, 0, 0, -1, 0, 0, -1
"c:\Users\afada\Desktop\healthomat-panel\src\functions\language.ts", "TypeScript", -4, 0, 0, 0, 0, -1, -5
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useDropdown.ts", "TypeScript", -16, 0, 0, 0, 0, -2, -18
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useRTL.ts", "TypeScript", -11, 0, 0, 0, 0, -2, -13
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useSelector.ts", "TypeScript", -3, 0, 0, 0, 0, -1, -4
"c:\Users\afada\Desktop\healthomat-panel\src\hooks\useTransition.ts", "TypeScript", -25, 0, 0, 0, 0, -2, -27
"c:\Users\afada\Desktop\healthomat-panel\src\i18next.ts", "TypeScript", -17, 0, 0, 0, 0, -3, -20
"c:\Users\afada\Desktop\healthomat-panel\src\index.css", "PostCSS", 0, 0, -160, 0, -13, -22, -195
"c:\Users\afada\Desktop\healthomat-panel\src\index.tsx", "TypeScript React", 0, -22, 0, 0, 0, -2, -24
"c:\Users\afada\Desktop\healthomat-panel\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, -1, -1, -2
"c:\Users\afada\Desktop\healthomat-panel\src\store\store.ts", "TypeScript", -11, 0, 0, 0, -2, -3, -16
"c:\Users\afada\Desktop\healthomat-panel\src\styles\animations.css", "PostCSS", 0, 0, -84, 0, -5, -11, -100
"c:\Users\afada\Desktop\healthomat-panel\src\utils\lab-tests.ts", "TypeScript", -1, 0, 0, 0, 0, -1, -2
"c:\Users\afada\Desktop\healthomat-panel\src\utils\languages.ts", "TypeScript", -6, 0, 0, 0, 0, -2, -8
"c:\Users\afada\Desktop\healthomat-panel\src\utils\profile-dropdown.ts", "TypeScript", -5, 0, 0, 0, 0, -1, -6
"c:\Users\afada\Desktop\healthomat-panel\src\utils\sidebar-content.ts", "TypeScript", -16, 0, 0, 0, 0, -2, -18
"Total", "-", -115, -63, -244, -7911, -21, -62, -8416
